n pokedex,nome,geração,tipo 1,tipo 2,vida,ataque,defesa,velocidade,sp ataque,sp defesa,total atr,md atr,altura m,peso kg,% macho,xp evolução,taxa de captura,classificação,lendário,habilidades,contra inseto,contra escuridão,contra dragão,contra elétrico,contra fada,contra lutador,contra fogo,contra voador,contra fantasma,contra planta,contra terra,contra gelo,contra normal,contra venenoso,contra psíquico,contra pedra,contra aço,contra água
166,Ledian,2,inseto,voador,55,35,50,85,55,110,390,65.0,1.4,35.6,50.0,800000,90.0,Pokémon Cinco Estrelas,False,"['Swarm', 'Early Bird', 'Iron Fist']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
167,Spinarak,2,inseto,venenoso,40,60,40,30,40,40,250,41.666666666666664,0.5,8.5,50.0,800000,255.0,Pokémon Cuspe de Linha,False,"['Swarm', 'Insomnia', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
168,Ariados,2,inseto,venenoso,70,90,70,40,60,70,400,66.66666666666667,1.1,33.5,50.0,800000,90.0,Pokémon Perna Longa,False,"['Swarm', 'Insomnia', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
169,Crobat,2,venenoso,voador,85,90,80,130,70,80,535,89.16666666666667,1.8,75.0,50.0,1000000,90.0,Pokémon Morcego,False,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
170,Chinchou,2,água,elétrico,75,38,38,67,56,56,330,55.0,0.5,12.0,50.0,1250000,190.0,Pokémon Pescador,False,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
171,Lanturn,2,água,elétrico,125,58,58,67,76,76,460,76.66666666666667,1.2,22.5,50.0,1250000,75.0,Pokémon Luz,False,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
172,Pichu,2,elétrico,,20,40,15,60,35,35,205,34.166666666666664,0.3,2.0,50.0,1000000,190.0,Pokémon Ratinho Pequeno,False,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
173,Cleffa,2,fada,,50,25,28,15,45,55,218,36.333333333333336,0.3,3.0,24.6,800000,150.0,Pokémon Forma de Estrela,False,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
174,Igglybuff,2,normal,fada,90,30,15,15,40,20,210,35.0,0.3,1.0,24.6,800000,170.0,Pokémon Balão,False,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
175,Togepi,2,fada,,35,20,65,20,40,65,245,40.833333333333336,0.3,1.5,88.1,800000,190.0,Pokémon Bola de Espinhos,False,"['Hustle', 'Serene Grace', 'Super Luck']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
176,Togetic,2,fada,voador,55,40,85,40,80,105,405,67.5,0.6,3.2,88.1,800000,75.0,Pokémon Felicidade,False,"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
177,Natu,2,psíquico,voador,40,50,45,70,70,45,320,53.333333333333336,0.2,2.0,50.0,1000000,190.0,Pokémon Passarinho Pequeno,False,"['Synchronize', 'Early Bird', 'Magic Bounce']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
178,Xatu,2,psíquico,voador,65,75,70,95,95,70,470,78.33333333333333,1.5,15.0,50.0,1000000,75.0,Pokémon Místico,False,"['Synchronize', 'Early Bird', 'Magic Bounce']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
179,Mareep,2,elétrico,,55,40,40,35,65,45,280,46.666666666666664,0.6,7.8,50.0,1059860,235.0,Pokémon Lã,False,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
180,Flaaffy,2,elétrico,,70,55,55,45,80,60,365,60.833333333333336,0.8,13.3,50.0,1059860,120.0,Pokémon Lã,False,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
181,Ampharos,2,elétrico,,90,95,105,45,165,110,610,101.66666666666667,1.4,61.5,50.0,1059860,45.0,Pokémon Luz,False,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
182,Bellossom,2,planta,,75,80,95,50,90,100,490,81.66666666666667,0.4,5.8,50.0,1059860,45.0,Pokémon Flor,False,"['Chlorophyll', 'Healer']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
183,Marill,2,água,fada,70,20,50,40,20,50,250,41.666666666666664,0.4,8.5,50.0,800000,190.0,Pokémon Rato Aquático,False,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
184,Azumarill,2,água,fada,100,50,80,50,60,80,420,70.0,0.8,28.5,50.0,800000,75.0,Pokémon Coelho Aquático,False,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
185,Sudowoodo,2,pedra,,70,100,115,30,30,65,410,68.33333333333333,1.2,38.0,50.0,1000000,65.0,Pokémon Imitação,False,"['Sturdy', 'Rock Head', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0
186,Politoed,2,água,,90,75,75,70,90,100,500,83.33333333333333,1.1,33.9,50.0,1059860,45.0,Pokémon Sapo,False,"['Water Absorb', 'Damp', 'Drizzle']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
187,Hoppip,2,planta,voador,35,35,40,50,35,55,250,41.666666666666664,0.4,0.5,50.0,1059860,255.0,Pokémon Algodão,False,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5
188,Skiploom,2,planta,voador,55,45,50,80,45,65,340,56.666666666666664,0.6,1.0,50.0,1059860,120.0,Pokémon Algodão,False,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5
189,Jumpluff,2,planta,voador,75,55,70,110,55,95,460,76.66666666666667,0.8,3.0,50.0,1059860,45.0,Pokémon Algodão,False,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5
190,Aipom,2,normal,,55,70,55,85,40,55,360,60.0,0.8,11.5,50.0,800000,45.0,Pokémon Cauda Longa,False,"['Run Away', 'Pickup', 'Skill Link']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
191,Sunkern,2,planta,,30,30,30,30,30,30,180,30.0,0.3,1.8,50.0,1059860,235.0,Pokémon Semente,False,"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
192,Sunflora,2,planta,,75,75,55,30,105,85,425,70.83333333333333,0.8,8.5,50.0,1059860,120.0,Pokémon Sol,False,"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
193,Yanma,2,inseto,voador,65,65,45,95,75,45,390,65.0,1.2,38.0,50.0,1000000,75.0,Pokémon Asa Clara,False,"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
194,Wooper,2,água,terra,55,45,45,15,25,25,210,35.0,0.4,8.5,50.0,1000000,255.0,Pokémon Peixe Aquático,False,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
195,Quagsire,2,água,terra,95,85,85,35,65,65,430,71.66666666666667,1.4,75.0,50.0,1000000,90.0,Pokémon Peixe Aquático,False,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
196,Espeon,2,psíquico,,65,65,60,110,130,95,525,87.5,0.9,26.5,88.1,1000000,45.0,Pokémon Sol,False,"['Synchronize', 'Magic Bounce']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
197,Umbreon,2,escuridão,,95,65,110,65,60,130,525,87.5,1.0,27.0,88.1,1000000,45.0,Pokémon Luz Lunar,False,"['Synchronize', 'Inner Focus']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
198,Murkrow,2,escuridão,voador,60,85,42,91,85,42,405,67.5,0.5,2.1,50.0,1059860,30.0,Pokémon Escuridão,False,"['Insomnia', 'Super Luck', 'Prankster']",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0
199,Slowking,2,água,psíquico,95,75,80,30,100,110,490,81.66666666666667,2.0,79.5,50.0,1000000,70.0,Pokémon Real,False,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
200,Misdreavus,2,fantasma,,60,60,60,85,85,85,435,72.5,0.7,1.0,50.0,800000,45.0,Pokémon Grito Estridente,False,['Levitate'],0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0
201,Unown,2,psíquico,,48,72,48,48,72,48,336,56.0,0.5,5.0,,1000000,225.0,Pokémon Símbolo,False,['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
202,Wobbuffet,2,psíquico,,190,33,58,33,33,58,405,67.5,1.3,28.5,50.0,1000000,45.0,Pokémon Paciente,False,"['Shadow Tag', 'Telepathy']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
203,Girafarig,2,normal,psíquico,70,80,65,85,90,65,455,75.83333333333333,1.5,41.5,50.0,1000000,60.0,Pokémon Pescoço Longo,False,"['Inner Focus', 'Early Bird', 'Sap Sipper']",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
204,Pineco,2,inseto,,50,65,90,15,35,35,290,48.333333333333336,0.6,7.2,50.0,1000000,190.0,Pokémon Saco de Verme,False,"['Sturdy', 'Overcoat']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
205,Forretress,2,inseto,aço,75,90,140,40,60,60,465,77.5,1.2,125.8,50.0,1000000,75.0,Pokémon Saco de Verme,False,"['Sturdy', 'Overcoat']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0
206,Dunsparce,2,normal,,100,70,70,45,65,65,415,69.16666666666667,1.5,14.0,50.0,1000000,190.0,Pokémon Cobra Terrestre,False,"['Serene Grace', 'Run Away', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
207,Gligar,2,terra,voador,65,75,105,85,35,65,430,71.66666666666667,1.1,64.8,50.0,1059860,60.0,Pokémon Escorpião Voador,False,"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0
208,Steelix,2,aço,terra,75,125,230,30,55,95,610,101.66666666666667,9.2,400.0,50.0,1000000,25.0,Pokémon Cobra de Ferro,False,"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0
209,Snubbull,2,fada,,60,80,50,30,40,40,300,50.0,0.6,7.8,24.6,800000,190.0,Pokémon Fada,False,"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
210,Granbull,2,fada,,90,120,75,45,60,60,450,75.0,1.4,48.7,24.6,800000,75.0,Pokémon Fada,False,"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
211,Qwilfish,2,água,venenoso,65,95,85,85,55,55,440,73.33333333333333,0.5,3.9,50.0,1000000,45.0,Pokémon Balão,False,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
212,Scizor,2,inseto,aço,70,150,140,75,65,100,600,100.0,1.8,118.0,50.0,1000000,25.0,Pokémon Pinça,False,"['Swarm', 'Technician', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0
213,Shuckle,2,inseto,pedra,20,10,230,5,10,230,505,84.16666666666667,0.6,20.5,50.0,1059860,190.0,Pokémon Mofo,False,"['Sturdy', 'Gluttony', 'Contrary']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0
214,Heracross,2,inseto,lutador,80,185,115,75,40,105,600,100.0,1.5,54.0,50.0,1250000,45.0,Pokémon Único Chifre,False,"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0
215,Sneasel,2,escuridão,gelo,55,95,55,115,35,75,430,71.66666666666667,0.9,28.0,50.0,1059860,60.0,Pokémon Garra Afiada,False,"['Inner Focus', 'Keen Eye', 'Pickpocket']",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0
216,Teddiursa,2,normal,,60,80,50,40,50,50,330,55.0,0.6,8.8,50.0,1000000,120.0,Pokémon Ursinho,False,"['Pickup', 'Quick Feet', 'Honey Gather']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
217,Ursaring,2,normal,,90,130,75,55,75,75,500,83.33333333333333,1.8,125.8,50.0,1000000,60.0,Pokémon Hibernador,False,"['Guts', 'Quick Feet', 'Unnerve']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
218,Slugma,2,fogo,,40,40,40,20,70,40,250,41.666666666666664,0.7,35.0,50.0,1000000,190.0,Pokémon Lava,False,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
219,Magcargo,2,fogo,pedra,60,50,120,30,90,80,430,71.66666666666667,0.8,55.0,50.0,1000000,75.0,Pokémon Lava,False,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0
220,Swinub,2,gelo,terra,50,50,40,50,30,30,250,41.666666666666664,0.4,6.5,50.0,1250000,225.0,Pokémon Porco,False,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0
221,Piloswine,2,gelo,terra,100,100,80,50,60,60,450,75.0,1.1,55.8,50.0,1250000,75.0,Pokémon Suíno,False,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0
222,Corsola,2,água,pedra,65,55,95,35,65,95,410,68.33333333333333,0.6,5.0,24.6,800000,60.0,Pokémon Coral,False,"['Hustle', 'Natural Cure', 'Regenerator']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
223,Remoraid,2,água,,35,65,35,65,65,35,300,50.0,0.6,12.0,50.0,1000000,190.0,Pokémon Jato,False,"['Hustle', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
224,Octillery,2,água,,75,105,75,45,105,75,480,80.0,0.9,28.5,50.0,1000000,75.0,Pokémon Jato,False,"['Suction Cups', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
225,Delibird,2,gelo,voador,45,55,45,75,65,45,330,55.0,0.9,16.0,50.0,800000,45.0,Pokémon Entrega,False,"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
226,Mantine,2,água,voador,85,40,70,70,80,140,485,80.83333333333333,2.1,220.0,50.0,1250000,25.0,Pokémon Pipa,False,"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
227,Skarmory,2,aço,voador,65,80,140,70,40,70,465,77.5,1.7,50.5,50.0,1250000,25.0,Pokémon Pássaro Armado,False,"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0
228,Houndour,2,escuridão,fogo,45,60,30,65,80,50,330,55.0,0.6,10.8,50.0,1250000,120.0,Pokémon Sombrio,False,"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0
229,Houndoom,2,escuridão,fogo,75,90,90,115,140,90,600,100.0,1.4,35.0,50.0,1250000,45.0,Pokémon Sombrio,False,"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0
230,Kingdra,2,água,dragão,75,95,95,85,95,95,540,90.0,1.8,152.0,50.0,1000000,45.0,Pokémon Dragão,False,"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25
231,Phanpy,2,terra,,90,60,60,40,40,40,330,55.0,0.5,33.5,50.0,1000000,120.0,Pokémon Nariz Longo,False,"['Pickup', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
232,Donphan,2,terra,,90,120,120,50,60,60,500,83.33333333333333,1.1,120.0,50.0,1000000,60.0,Pokémon Armadura,False,"['Sturdy', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
233,Porygon2,2,normal,,85,80,90,60,105,95,515,85.83333333333333,0.6,32.5,,1000000,45.0,Pokémon Virtual,False,"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
234,Stantler,2,normal,,73,95,62,85,85,65,465,77.5,1.4,71.2,50.0,1250000,45.0,Pokémon Grande Chifre,False,"['Intimidate', 'Frisk', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
235,Smeargle,2,normal,,55,20,35,75,20,45,250,41.666666666666664,1.2,58.0,50.0,800000,45.0,Pokémon Pintor,False,"['Own Tempo', 'Technician', 'Moody']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
236,Tyrogue,2,lutador,,35,35,35,35,35,35,210,35.0,0.7,21.0,100.0,1000000,75.0,Pokémon Confusão,False,"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
237,Hitmontop,2,lutador,,50,95,95,70,35,110,455,75.83333333333333,1.4,48.0,100.0,1000000,45.0,Pokémon Apoio de Mão,False,"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
238,Smoochum,2,gelo,psíquico,45,30,15,65,85,65,305,50.833333333333336,0.4,6.0,0.0,1000000,45.0,Pokémon Beijo,False,"['Oblivious', 'Forewarn', 'Hydration']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0
239,Elekid,2,elétrico,,45,63,37,95,65,55,360,60.0,0.6,23.5,75.4,1000000,45.0,Pokémon Elétrico,False,"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
240,Magby,2,fogo,,45,75,37,83,70,55,365,60.833333333333336,0.7,21.4,75.4,1000000,45.0,Pokémon Carvão Vivo,False,"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
241,Miltank,2,normal,,95,80,105,100,40,70,490,81.66666666666667,1.2,75.5,0.0,1250000,45.0,Pokémon Vaca de Leite,False,"['Thick Fat', 'Scrappy', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
242,Blissey,2,normal,,255,10,10,55,75,135,540,90.0,1.5,46.8,0.0,800000,30.0,Pokémon Felicidade,False,"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
243,Raikou,2,elétrico,,90,85,75,115,115,100,580,96.66666666666667,1.9,178.0,,1250000,3.0,Pokémon Trovão,True,"['Pressure', 'Inner Focus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
244,Entei,2,fogo,,115,115,85,100,90,75,580,96.66666666666667,2.1,198.0,,1250000,3.0,Pokémon Vulcão,True,"['Pressure', 'Inner Focus']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
245,Suicune,2,água,,100,75,115,85,90,115,580,96.66666666666667,2.0,187.0,,1250000,3.0,Pokémon Aurora,True,"['Pressure', 'Inner Focus']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
246,Larvitar,2,pedra,terra,50,64,50,41,45,50,300,50.0,0.6,72.0,50.0,1250000,45.0,Pokémon Pele de Rocha,False,"['Guts', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
247,Pupitar,2,pedra,terra,70,84,70,51,65,70,410,68.33333333333333,1.2,152.0,50.0,1250000,45.0,Pokémon Casca Dura,False,['Shed Skin'],1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
248,Tyranitar,2,pedra,escuridão,100,164,150,71,95,120,700,116.66666666666667,2.0,202.0,50.0,1250000,45.0,Pokémon Armadura,False,"['Sand Stream', 'Unnerve']",2.0,0.5,1.0,1.0,2.0,4.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0
249,Lugia,2,psíquico,voador,106,90,130,110,90,154,680,113.33333333333333,5.2,216.0,,1250000,3.0,Pokémon Mergulhador,True,"['Pressure', 'Multiscale']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
